categorie,attributs_similaire,complement_categories,complement_categories_toutes,complement_mots_cles,exclure_mots_cles,exemple
batterie,form_factor;chemistry,chargeur;composant;mecanique;connectique,chargeur,bms;protection;support;porte pile;boitier;holder;chargeur;18650;module charge,diode;triac;mosfet;transistor;resistance;condensateur;foret;projecteur;capteur;relais;moteur;ruban led,18650 -> chargeur 18650 / BMS / support (jamais diode/TRIAC)
chargeur,chemistry;connector,batterie;connectique,batterie,batterie;pile;accu;18650;lipo;li-ion;cellule,foret;vis;peinture;moteur,Chargeur 18650 -> cellules 18650
led,led_form;voltage_bucket,alimentation;electronique;connectique,,alimentation;transformateur;controleur;dimmer;connecteur ruban;profile;amplificateur rgb;bande;ruban,foret;vis;peinture;moteur;capteur;fpga;altera;cyclone;diode;projecteur;ramps;reprap;imprimante;creality;ender;incubateur;temperature,Ruban LED 12V -> alim 12V / controleur RGB 12V
alimentation,voltage_bucket;connector,carte;connectique;led;electronique;mecanique,,raspberry;arduino;esp32;micro sd;carte memoire;boitier;dissipateur;ruban led;ruban;jack,foret;vis;peinture;cle;douille;fpga;altera;cyclone;diode;triac;projecteur;domino,Alim 5V Raspberry -> Raspberry / carte SD / boitier / dissipateur
carte,board;connectivity,capteur;connectique;alimentation;led;electronique;composant,capteur,breadboard;plaque essai;dupont;jumper;cable usb;micro sd;carte memoire;ecran;oled;lcd;afficheur;capteur;alimentation;boitier;dissipateur;relais,foret;perceuse;vis;cle;douille;peinture;disjoncteur;fpga;altera;cyclone;visseuse;clé à chocs,Arduino/ESP -> capteurs / dupont / alim / ecran
capteur,sensor,carte;connectique;electronique,carte,arduino;esp32;raspberry;dupont;jumper;breadboard;resistance;ecran;lcd;oled;module;relais,foret;perceuse;vis;cle;peinture;fpga;altera;cyclone;clé à chocs;projecteur,Capteur DHT11/PIR -> carte MCU / dupont / ecran
moteur,motor;voltage_bucket,carte;electronique;alimentation;batterie;mecanique,,driver;l298;a4988;controleur;esc;arduino;esp32;roue;helice;batterie;lipo;alimentation;servo;pont en h,foret;perceuse;vis;peinture;clé à chocs;cle a choc;visseuse;disqueuse;meuleuse;fpga;temperature;humidite;garage;incubateur,Moteur -> driver L298/ESC / carte / batterie
mobilite,vehicle;control,batterie;moteur;capteur;electronique;connectique;chargeur;rf,moteur,telecommande;radiocommande;roue;helice;chassis;lipo;li-ion;18650;nimh;driver;l298;controleur;esc;ultrason;hc-sr04;suiveur;dupont;moteur;servo;recepteur,foret;vis;peinture;cle;douille;perceuse;enceinte;haut parleur;lora;audio;jack;fpga;nema;cnc;industriel;graisse;gonfleur;temperature;humidite;garage;incubateur,Voiture RC -> moteur / driver / batterie / capteur ultrason
rf,rftech,carte;alimentation;connectique,,arduino;esp32;raspberry;antenne;dupont;module;carte sim;adaptateur,foret;vis;haut parleur;enceinte;fpga;altera;peinture,NRF24/LoRa/433 -> carte MCU / antenne / dupont
electronique,module_fn,carte;connectique;composant;alimentation,,arduino;raspberry;esp32;nano;uno;dupont;breadboard;resistance;potentiometre;support;afficheur;ecran;lcd;oled;capteur,foret;perceuse;vis;cle;douille;peinture;fpga;altera;cyclone;projecteur;clé à chocs,Relais/LCD/Module -> Arduino / dupont / resistance / afficheur
composant,component,electronique;connectique;carte,,breadboard;plaque essai;dupont;resistance;support;arduino;esp32;led;afficheur;potentiometre,foret;perceuse;vis;peinture;fpga;altera;cyclone;projecteur;clé à chocs,Resistance/diode -> breadboard / dupont / support DIP
connectique,connector,carte;electronique;composant,,arduino;raspberry;esp32;module;breadboard;capteur;ecran;led;afficheur,foret;vis;peinture;cle;douille;fpga;altera,Cable dupont -> carte / module / breadboard
mesure,,composant;connectique,,sonde;electrode;pince;cable;cordon;fusible;pile 9v;crocodile,foret;vis;peinture;arduino;esp32;fpga,Multimetre -> sondes / cordons / pinces
soudure,,soudure;composant;connectique,,etain;flux;panne;tresse;pompe a dessouder;troisieme main;decapant,foret;perceuse;vis;arduino;esp32;fpga;fer a souder;poste soudure;masque,Fer a souder -> etain / flux / panne (consommables)
solaire,voltage_bucket,batterie;alimentation;chargeur,,batterie;controleur;mppt;regulateur;18650;lipo;onduleur,foret;vis;peinture;fpga;arduino,Panneau solaire -> regulateur MPPT / batterie
audio,,connectique;alimentation;chargeur,,jack;aux;cable;chargeur;alimentation;support;amplificateur;haut parleur;micro;rca,foret;vis;esp32;arduino;relais;fpga;capteur;ruban,Enceinte BT -> cable jack / ampli / alim
outillage,,,,,,Outil -> aucun complement IoT
mecanique,,,,,,Boitier/vis -> aucun complement direct (sert aux cartes)
electrique,,,,,,Disjoncteur/220V -> aucun complement IoT
